x= 224, y= 24, width= 4, height= 8
x= 228, y= 24, width= 4, height= 8
x= 232, y= 16, width= 4, height= 8
x= 236, y= 16, width= 4, height= 8
x= 232, y= 24, width= 4, height= 8
x= 236, y= 24, width= 4, height= 8
x= 240, y= 16, width= 8, height= 8
x= 240, y= 24, width= 4, height= 8
x= 244, y= 24, width= 4, height= 8
x= 248, y= 16, width= 8, height= 16
x= 192, y= 32, width= 32, height= 32
x= 224, y= 32, width= 8, height= 4
x= 232, y= 32, width= 8, height= 4
x= 224, y= 36, width= 16, height= 4
x= 224, y= 40, width= 16, height= 8
x= 240, y= 32, width= 4, height= 4
x= 244, y= 32, width= 8, height= 4
x= 252, y= 32, width= 4, height= 4
x= 240, y= 36, width= 8, height= 4
x= 248, y= 36, width= 8, height= 4
x= 240, y= 40, width= 8, height= 8
x= 248, y= 40, width= 8, height= 8
x= 224, y= 48, width= 16, height= 16
x= 240, y= 48, width= 8, height= 8
x= 248, y= 48, width= 8, height= 8
x= 240, y= 56, width= 16, height= 8
x= 128, y= 64, width= 16, height= 16
x= 128, y= 80, width= 16, height= 16
x= 144, y= 64, width= 16, height= 8
x= 144, y= 72, width= 16, height= 16
x= 144, y= 88, width= 16, height= 8
x= 160, y= 64, width= 32, height= 16
x= 160, y= 80, width= 16, height= 8
x= 176, y= 80, width= 16, height= 8
x= 160, y= 88, width= 32, height= 8
x= 128, y= 96, width= 32, height= 4
x= 128, y= 100, width= 32, height= 4
x= 128, y= 104, width= 16, height= 4
x= 128, y= 108, width= 16, height= 8
x= 128, y= 116, width= 16, height= 4
x= 144, y= 104, width= 16, height= 4
x= 144, y= 108, width= 16, height= 8
x= 144, y= 116, width= 16, height= 4
x= 128, y= 120, width= 8, height= 8
x= 136, y= 120, width= 16, height= 8
x= 152, y= 120, width= 8, height= 8
x= 160, y= 96, width= 32, height= 4
x= 160, y= 100, width= 32, height= 4
x= 160, y= 104, width= 32, height= 8
x= 160, y= 112, width= 32, height= 16
x= 192, y= 64, width= 32, height= 16
x= 192, y= 80, width= 16, height= 8
x= 208, y= 80, width= 16, height= 8
x= 192, y= 88, width= 32, height= 8
x= 224, y= 64, width= 32, height= 16
x= 224, y= 80, width= 32, height= 4
x= 224, y= 84, width= 32, height= 8
x= 224, y= 92, width= 8, height= 4
x= 232, y= 92, width= 16, height= 4
x= 248, y= 92, width= 8, height= 4
x= 192, y= 96, width= 32, height= 8
x= 192, y= 104, width= 32, height= 16
x= 192, y= 120, width= 16, height= 8
x= 208, y= 120, width= 16, height= 8
x= 224, y= 96, width= 16, height= 4
x= 224, y= 100, width= 16, height= 4
x= 240, y= 96, width= 8, height= 8
x= 248, y= 96, width= 8, height= 8
x= 224, y= 104, width= 16, height= 8
x= 224, y= 112, width= 16, height= 8
x= 240, y= 104, width= 4, height= 16
x= 244, y= 104, width= 8, height= 16
x= 252, y= 104, width= 4, height= 16
x= 224, y= 120, width= 16, height= 8
x= 240, y= 120, width= 8, height= 8
x= 248, y= 120, width= 8, height= 8
x= 256, y= 0, width= 8, height= 4
x= 264, y= 0, width= 8, height= 4
x= 256, y= 4, width= 4, height= 8
x= 260, y= 4, width= 8, height= 4
x= 260, y= 8, width= 8, height= 4
x= 268, y= 4, width= 4, height= 8
x= 256, y= 12, width= 4, height= 4
x= 260, y= 12, width= 8, height= 4
x= 268, y= 12, width= 4, height= 4
x= 272, y= 0, width= 16, height= 16
x= 256, y= 16, width= 8, height= 16
x= 264, y= 16, width= 4, height= 16
x= 268, y= 16, width= 4, height= 16
x= 272, y= 16, width= 8, height= 4
x= 272, y= 20, width= 8, height= 4
x= 272, y= 24, width= 4, height= 8
x= 276, y= 24, width= 4, height= 8
x= 280, y= 16, width= 4, height= 8
x= 280, y= 24, width= 4, height= 8
x= 284, y= 16, width= 4, height= 16
x= 288, y= 0, width= 4, height= 16
x= 292, y= 0, width= 4, height= 4
x= 292, y= 4, width= 4, height= 8
x= 292, y= 12, width= 4, height= 4
x= 296, y= 0, width= 8, height= 8
x= 296, y= 8, width= 8, height= 4
x= 296, y= 12, width= 8, height= 4
x= 304, y= 0, width= 4, height= 4
x= 304, y= 4, width= 4, height= 8
x= 304, y= 12, width= 4, height= 4
x= 308, y= 0, width= 8, height= 16
x= 316, y= 0, width= 4, height= 4
x= 316, y= 4, width= 4, height= 8
x= 316, y= 12, width= 4, height= 4
x= 288, y= 16, width= 4, height= 16
x= 292, y= 16, width= 4, height= 16
x= 296, y= 16, width= 8, height= 16
x= 304, y= 16, width= 16, height= 4
x= 304, y= 20, width= 16, height= 8
x= 304, y= 28, width= 16, height= 4
x= 256, y= 32, width= 4, height= 8
x= 256, y= 40, width= 4, height= 8
x= 260, y= 32, width= 8, height= 4
x= 260, y= 36, width= 8, height= 8
x= 260, y= 44, width= 4, height= 4
