x= 0, y= 0, width= 64, height= 8
x= 0, y= 8, width= 16, height= 8
x= 16, y= 8, width= 32, height= 8
x= 48, y= 8, width= 16, height= 8
x= 0, y= 16, width= 64, height= 32
x= 0, y= 48, width= 64, height= 16
x= 64, y= 0, width= 64, height= 64
x= 0, y= 64, width= 64, height= 64
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 32, height= 32
x= 64, y= 96, width= 32, height= 32
x= 96, y= 96, width= 16, height= 16
x= 112, y= 96, width= 16, height= 16
x= 96, y= 112, width= 16, height= 16
x= 112, y= 112, width= 8, height= 16
x= 120, y= 112, width= 8, height= 16
x= 128, y= 0, width= 32, height= 32
x= 160, y= 0, width= 32, height= 32
x= 128, y= 32, width= 32, height= 32
x= 160, y= 32, width= 32, height= 32
x= 192, y= 0, width= 32, height= 32
x= 224, y= 0, width= 32, height= 32
x= 192, y= 32, width= 16, height= 4
x= 192, y= 36, width= 8, height= 8
x= 200, y= 36, width= 4, height= 8
x= 204, y= 36, width= 4, height= 8
x= 192, y= 44, width= 16, height= 4
x= 208, y= 32, width= 16, height= 16
x= 192, y= 48, width= 16, height= 16
x= 208, y= 48, width= 16, height= 16
x= 224, y= 32, width= 16, height= 32
x= 240, y= 32, width= 16, height= 32
x= 128, y= 64, width= 64, height= 32
x= 128, y= 96, width= 64, height= 8
x= 128, y= 104, width= 64, height= 16
x= 128, y= 120, width= 64, height= 8
x= 192, y= 64, width= 32, height= 32
x= 224, y= 64, width= 32, height= 8
x= 224, y= 72, width= 32, height= 16
x= 224, y= 88, width= 32, height= 8
x= 192, y= 96, width= 64, height= 32
x= 256, y= 0, width= 64, height= 64
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 64, height= 64
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 64, height= 64
x= 64, y= 128, width= 32, height= 32
x= 96, y= 128, width= 16, height= 32
x= 112, y= 128, width= 16, height= 32
x= 64, y= 160, width= 32, height= 32
x= 96, y= 160, width= 32, height= 32
x= 0, y= 192, width= 64, height= 64
x= 64, y= 192, width= 64, height= 64
x= 128, y= 128, width= 64, height= 64
x= 192, y= 128, width= 64, height= 64
x= 128, y= 192, width= 16, height= 32
x= 144, y= 192, width= 16, height= 32
x= 160, y= 192, width= 32, height= 16
x= 160, y= 208, width= 32, height= 16
x= 128, y= 224, width= 8, height= 32
x= 136, y= 224, width= 16, height= 32
x= 152, y= 224, width= 8, height= 32
x= 160, y= 224, width= 32, height= 32
x= 192, y= 192, width= 32, height= 16
x= 192, y= 208, width= 32, height= 16
x= 224, y= 192, width= 32, height= 32
x= 192, y= 224, width= 32, height= 16
x= 192, y= 240, width= 32, height= 16
x= 224, y= 224, width= 8, height= 32
x= 232, y= 224, width= 16, height= 32
x= 248, y= 224, width= 8, height= 32
x= 256, y= 128, width= 64, height= 64
x= 320, y= 128, width= 32, height= 64
x= 256, y= 192, width= 64, height= 64
x= 320, y= 192, width= 32, height= 64
x= 0, y= 256, width= 32, height= 32
x= 32, y= 256, width= 32, height= 32
x= 64, y= 256, width= 64, height= 16
x= 64, y= 272, width= 64, height= 8
x= 64, y= 280, width= 64, height= 8
x= 128, y= 256, width= 32, height= 32
x= 160, y= 256, width= 16, height= 8
x= 176, y= 256, width= 16, height= 4
x= 176, y= 260, width= 16, height= 4
x= 160, y= 264, width= 32, height= 16
x= 160, y= 280, width= 32, height= 8
x= 192, y= 256, width= 32, height= 8
x= 192, y= 264, width= 32, height= 16
x= 192, y= 280, width= 32, height= 8
x= 224, y= 256, width= 8, height= 16
x= 232, y= 256, width= 16, height= 16
x= 248, y= 256, width= 8, height= 16
x= 224, y= 272, width= 32, height= 8
x= 224, y= 280, width= 32, height= 8
x= 256, y= 256, width= 64, height= 16
x= 256, y= 272, width= 32, height= 4
x= 256, y= 276, width= 32, height= 8
x= 256, y= 284, width= 32, height= 4
x= 288, y= 272, width= 32, height= 4
x= 288, y= 276, width= 32, height= 8
x= 288, y= 284, width= 32, height= 4
x= 320, y= 256, width= 32, height= 8
x= 320, y= 264, width= 32, height= 16
x= 320, y= 280, width= 32, height= 8
