x= 0, y= 0, width= 32, height= 8
x= 0, y= 8, width= 32, height= 8
x= 0, y= 16, width= 8, height= 16
x= 8, y= 16, width= 16, height= 16
x= 24, y= 16, width= 8, height= 16
x= 32, y= 0, width= 32, height= 32
x= 0, y= 32, width= 32, height= 32
x= 32, y= 32, width= 32, height= 32
x= 64, y= 0, width= 32, height= 32
x= 96, y= 0, width= 32, height= 32
x= 64, y= 32, width= 32, height= 32
x= 96, y= 32, width= 32, height= 16
x= 96, y= 48, width= 32, height= 16
x= 0, y= 64, width= 8, height= 64
x= 8, y= 64, width= 8, height= 64
x= 16, y= 64, width= 32, height= 64
x= 48, y= 64, width= 16, height= 64
x= 64, y= 64, width= 16, height= 64
x= 80, y= 64, width= 32, height= 32
x= 80, y= 96, width= 16, height= 32
x= 96, y= 96, width= 16, height= 32
x= 112, y= 64, width= 16, height= 64
x= 128, y= 0, width= 64, height= 64
x= 192, y= 0, width= 16, height= 64
x= 208, y= 0, width= 8, height= 32
x= 216, y= 0, width= 16, height= 32
x= 232, y= 0, width= 8, height= 32
x= 208, y= 32, width= 32, height= 32
x= 240, y= 0, width= 16, height= 64
x= 128, y= 64, width= 32, height= 32
x= 160, y= 64, width= 32, height= 16
x= 160, y= 80, width= 32, height= 16
x= 128, y= 96, width= 16, height= 16
x= 128, y= 112, width= 8, height= 16
x= 136, y= 112, width= 8, height= 16
x= 144, y= 96, width= 16, height= 32
x= 160, y= 96, width= 32, height= 32
x= 192, y= 64, width= 32, height= 16
x= 224, y= 64, width= 32, height= 16
x= 192, y= 80, width= 32, height= 8
x= 224, y= 80, width= 32, height= 8
x= 192, y= 88, width= 16, height= 16
x= 208, y= 88, width= 32, height= 16
x= 240, y= 88, width= 16, height= 16
x= 192, y= 104, width= 32, height= 8
x= 224, y= 104, width= 32, height= 8
x= 192, y= 112, width= 32, height= 8
x= 224, y= 112, width= 32, height= 8
x= 192, y= 120, width= 32, height= 8
x= 224, y= 120, width= 32, height= 8
x= 256, y= 0, width= 64, height= 32
x= 256, y= 32, width= 64, height= 32
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 64, height= 16
x= 256, y= 80, width= 16, height= 32
x= 272, y= 80, width= 32, height= 32
x= 304, y= 80, width= 16, height= 32
x= 256, y= 112, width= 32, height= 8
x= 288, y= 112, width= 32, height= 8
x= 256, y= 120, width= 16, height= 8
x= 272, y= 120, width= 32, height= 8
x= 304, y= 120, width= 16, height= 8
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 8, height= 64
x= 8, y= 128, width= 8, height= 64
x= 16, y= 128, width= 32, height= 64
x= 48, y= 128, width= 16, height= 64
x= 64, y= 128, width= 16, height= 64
x= 80, y= 128, width= 8, height= 32
x= 88, y= 128, width= 16, height= 32
x= 104, y= 128, width= 8, height= 32
x= 80, y= 160, width= 16, height= 32
x= 96, y= 160, width= 16, height= 32
x= 112, y= 128, width= 16, height= 16
x= 112, y= 144, width= 16, height= 32
x= 112, y= 176, width= 16, height= 16
x= 0, y= 192, width= 16, height= 64
x= 16, y= 192, width= 32, height= 64
x= 48, y= 192, width= 16, height= 64
x= 64, y= 192, width= 16, height= 64
x= 80, y= 192, width= 32, height= 64
x= 112, y= 192, width= 8, height= 64
x= 120, y= 192, width= 8, height= 64
x= 128, y= 128, width= 32, height= 16
x= 128, y= 144, width= 32, height= 16
x= 160, y= 128, width= 32, height= 16
x= 160, y= 144, width= 32, height= 16
x= 128, y= 160, width= 32, height= 32
x= 160, y= 160, width= 32, height= 32
x= 192, y= 128, width= 32, height= 32
x= 224, y= 128, width= 16, height= 32
x= 240, y= 128, width= 16, height= 32
x= 192, y= 160, width= 32, height= 16
x= 192, y= 176, width= 32, height= 16
x= 224, y= 160, width= 16, height= 32
x= 240, y= 160, width= 16, height= 16
x= 240, y= 176, width= 16, height= 16
x= 128, y= 192, width= 8, height= 16
x= 128, y= 208, width= 8, height= 32
x= 128, y= 240, width= 8, height= 16
x= 136, y= 192, width= 8, height= 16
x= 136, y= 208, width= 8, height= 32
x= 136, y= 240, width= 8, height= 16
x= 144, y= 192, width= 32, height= 32
x= 144, y= 224, width= 16, height= 32
x= 160, y= 224, width= 16, height= 32
x= 176, y= 192, width= 16, height= 32
x= 176, y= 224, width= 16, height= 32
x= 192, y= 192, width= 16, height= 64
x= 208, y= 192, width= 32, height= 16
x= 208, y= 208, width= 32, height= 8
x= 208, y= 216, width= 32, height= 16
x= 208, y= 232, width= 32, height= 8
x= 208, y= 240, width= 32, height= 16
x= 240, y= 192, width= 16, height= 16
x= 240, y= 208, width= 8, height= 32
x= 248, y= 208, width= 8, height= 32
x= 240, y= 240, width= 8, height= 16
x= 248, y= 240, width= 8, height= 16
x= 256, y= 128, width= 8, height= 32
x= 256, y= 160, width= 8, height= 32
x= 264, y= 128, width= 8, height= 64
x= 272, y= 128, width= 32, height= 64
x= 304, y= 128, width= 16, height= 64
x= 320, y= 128, width= 32, height= 64
x= 256, y= 192, width= 64, height= 64
x= 320, y= 192, width= 32, height= 64
x= 0, y= 256, width= 64, height= 32
x= 64, y= 256, width= 16, height= 32
x= 80, y= 256, width= 16, height= 32
x= 96, y= 256, width= 8, height= 32
x= 104, y= 256, width= 8, height= 32
x= 112, y= 256, width= 8, height= 32
x= 120, y= 256, width= 8, height= 32
x= 128, y= 256, width= 16, height= 8
x= 144, y= 256, width= 32, height= 8
x= 176, y= 256, width= 16, height= 8
x= 128, y= 264, width= 32, height= 16
x= 160, y= 264, width= 32, height= 16
x= 128, y= 280, width= 64, height= 4
x= 128, y= 284, width= 32, height= 4
x= 160, y= 284, width= 32, height= 4
x= 192, y= 256, width= 64, height= 16
x= 192, y= 272, width= 64, height= 16
x= 256, y= 256, width= 64, height= 16
x= 256, y= 272, width= 16, height= 16
x= 272, y= 272, width= 16, height= 16
x= 288, y= 272, width= 32, height= 16
x= 320, y= 256, width= 32, height= 8
x= 320, y= 264, width= 32, height= 16
x= 320, y= 280, width= 32, height= 8
