x= 16, y= 32, width= 4, height= 8
x= 20, y= 32, width= 8, height= 8
x= 28, y= 32, width= 4, height= 8
x= 0, y= 40, width= 4, height= 16
x= 4, y= 40, width= 4, height= 16
x= 8, y= 40, width= 16, height= 16
x= 24, y= 40, width= 8, height= 4
x= 24, y= 44, width= 8, height= 4
x= 24, y= 48, width= 8, height= 4
x= 24, y= 52, width= 8, height= 4
x= 0, y= 56, width= 4, height= 8
x= 4, y= 56, width= 4, height= 4
x= 4, y= 60, width= 4, height= 4
x= 8, y= 56, width= 16, height= 4
x= 8, y= 60, width= 16, height= 1
x= 8, y= 61, width= 16, height= 1
x= 8, y= 62, width= 16, height= 1
x= 8, y= 63, width= 16, height= 1
x= 24, y= 56, width= 4, height= 8
x= 28, y= 56, width= 4, height= 8
x= 32, y= 32, width= 8, height= 16
x= 32, y= 48, width= 8, height= 4
x= 32, y= 52, width= 8, height= 8
x= 32, y= 60, width= 8, height= 4
x= 40, y= 32, width= 16, height= 16
x= 40, y= 48, width= 16, height= 8
x= 40, y= 56, width= 16, height= 8
x= 56, y= 32, width= 4, height= 8
x= 60, y= 32, width= 4, height= 8
x= 56, y= 40, width= 8, height= 4
x= 56, y= 44, width= 8, height= 8
x= 56, y= 52, width= 8, height= 4
x= 56, y= 56, width= 8, height= 8
x= 64, y= 0, width= 8, height= 4
x= 64, y= 4, width= 8, height= 4
x= 72, y= 0, width= 4, height= 4
x= 72, y= 4, width= 4, height= 4
x= 76, y= 0, width= 4, height= 8
x= 64, y= 8, width= 8, height= 8
x= 72, y= 8, width= 8, height= 8
x= 80, y= 0, width= 8, height= 4
x= 88, y= 0, width= 8, height= 4
x= 80, y= 4, width= 16, height= 8
x= 80, y= 12, width= 16, height= 4
x= 64, y= 16, width= 8, height= 4
x= 72, y= 16, width= 8, height= 4
x= 64, y= 20, width= 16, height= 4
x= 64, y= 24, width= 16, height= 2
x= 64, y= 26, width= 16, height= 2
x= 64, y= 28, width= 16, height= 2
x= 64, y= 30, width= 16, height= 2
x= 80, y= 16, width= 16, height= 4
x= 80, y= 20, width= 8, height= 4
x= 80, y= 24, width= 8, height= 4
x= 88, y= 20, width= 8, height= 8
x= 80, y= 28, width= 16, height= 1
x= 80, y= 29, width= 16, height= 1
x= 80, y= 30, width= 16, height= 1
x= 80, y= 31, width= 16, height= 1
x= 96, y= 0, width= 4, height= 8
x= 96, y= 8, width= 4, height= 16
x= 96, y= 24, width= 4, height= 8
x= 100, y= 0, width= 8, height= 16
x= 100, y= 16, width= 8, height= 4
x= 100, y= 20, width= 8, height= 4
x= 100, y= 24, width= 8, height= 4
x= 100, y= 28, width= 8, height= 4
x= 108, y= 0, width= 4, height= 8
x= 108, y= 8, width= 4, height= 16
x= 108, y= 24, width= 4, height= 8
x= 112, y= 0, width= 16, height= 8
x= 112, y= 8, width= 16, height= 8
x= 112, y= 16, width= 16, height= 16
x= 64, y= 32, width= 32, height= 4
x= 64, y= 36, width= 32, height= 1
x= 64, y= 37, width= 32, height= 1
x= 64, y= 38, width= 32, height= 1
x= 64, y= 39, width= 32, height= 1
x= 64, y= 40, width= 32, height= 4
x= 64, y= 44, width= 32, height= 4
x= 64, y= 48, width= 16, height= 16
x= 80, y= 48, width= 16, height= 16
x= 96, y= 32, width= 16, height= 4
x= 96, y= 36, width= 16, height= 4
x= 96, y= 40, width= 16, height= 16
x= 96, y= 56, width= 4, height= 8
x= 100, y= 56, width= 8, height= 8
x= 108, y= 56, width= 4, height= 4
x= 108, y= 60, width= 4, height= 4
x= 112, y= 32, width= 16, height= 4
x= 112, y= 36, width= 4, height= 4
x= 116, y= 36, width= 4, height= 4
x= 120, y= 36, width= 4, height= 4
x= 124, y= 36, width= 4, height= 4
x= 112, y= 40, width= 16, height= 16
x= 112, y= 56, width= 16, height= 8
x= 0, y= 64, width= 4, height= 8
x= 4, y= 64, width= 4, height= 8
x= 8, y= 64, width= 16, height= 4
x= 8, y= 68, width= 16, height= 4
x= 24, y= 64, width= 8, height= 8
x= 0, y= 72, width= 8, height= 16
x= 8, y= 72, width= 8, height= 16
x= 16, y= 72, width= 16, height= 16
x= 0, y= 88, width= 16, height= 8
x= 16, y= 88, width= 8, height= 8
x= 24, y= 88, width= 8, height= 8
x= 32, y= 64, width= 16, height= 16
x= 48, y= 64, width= 16, height= 16
x= 32, y= 80, width= 16, height= 8
x= 32, y= 88, width= 4, height= 4
x= 36, y= 88, width= 8, height= 4
x= 44, y= 88, width= 4, height= 4
x= 32, y= 92, width= 16, height= 4
x= 48, y= 80, width= 8, height= 8
x= 48, y= 88, width= 4, height= 8
x= 52, y= 88, width= 4, height= 8
x= 56, y= 80, width= 8, height= 8
x= 56, y= 88, width= 8, height= 8
x= 0, y= 96, width= 4, height= 8
x= 0, y= 104, width= 2, height= 8
x= 2, y= 104, width= 2, height= 8
x= 4, y= 96, width= 4, height= 4
x= 4, y= 100, width= 4, height= 8
x= 4, y= 108, width= 4, height= 4
x= 8, y= 96, width= 4, height= 8
x= 8, y= 104, width= 4, height= 8
x= 12, y= 96, width= 4, height= 8
x= 12, y= 104, width= 4, height= 8
x= 16, y= 96, width= 8, height= 4
x= 16, y= 100, width= 8, height= 4
x= 16, y= 104, width= 8, height= 8
x= 24, y= 96, width= 8, height= 16
x= 0, y= 112, width= 4, height= 4
x= 0, y= 116, width= 4, height= 4
x= 4, y= 112, width= 8, height= 4
x= 4, y= 116, width= 8, height= 4
x= 12, y= 112, width= 4, height= 8
x= 0, y= 120, width= 8, height= 8
x= 8, y= 120, width= 8, height= 8
x= 16, y= 112, width= 16, height= 16
x= 32, y= 96, width= 8, height= 2
x= 32, y= 98, width= 8, height= 2
x= 32, y= 100, width= 8, height= 2
x= 32, y= 102, width= 8, height= 2
x= 40, y= 96, width= 8, height= 8
x= 32, y= 104, width= 8, height= 8
x= 40, y= 104, width= 8, height= 2
x= 40, y= 106, width= 8, height= 2
x= 40, y= 108, width= 8, height= 2
x= 40, y= 110, width= 8, height= 2
x= 48, y= 96, width= 16, height= 16
x= 32, y= 112, width= 16, height= 16
x= 48, y= 112, width= 16, height= 16
x= 64, y= 64, width= 32, height= 4
x= 64, y= 68, width= 16, height= 4
x= 80, y= 68, width= 16, height= 1
x= 80, y= 69, width= 16, height= 1
x= 80, y= 70, width= 16, height= 1
x= 80, y= 71, width= 16, height= 1
x= 64, y= 72, width= 8, height= 4
x= 64, y= 76, width= 8, height= 2
x= 64, y= 78, width= 8, height= 2
x= 64, y= 80, width= 8, height= 2
x= 64, y= 82, width= 8, height= 2
x= 64, y= 84, width= 8, height= 4
x= 72, y= 72, width= 4, height= 16
x= 76, y= 72, width= 8, height= 16
x= 84, y= 72, width= 4, height= 16
x= 88, y= 72, width= 8, height= 16
x= 64, y= 88, width= 32, height= 8
x= 96, y= 64, width= 8, height= 4
x= 96, y= 68, width= 8, height= 8
x= 96, y= 76, width= 8, height= 4
x= 104, y= 64, width= 4, height= 8
x= 108, y= 64, width= 2, height= 8
x= 110, y= 64, width= 2, height= 8
x= 104, y= 72, width= 8, height= 4
x= 104, y= 76, width= 8, height= 4
x= 112, y= 64, width= 16, height= 16
x= 96, y= 80, width= 8, height= 16
x= 104, y= 80, width= 4, height= 16
x= 108, y= 80, width= 4, height= 16
x= 112, y= 80, width= 8, height= 16
x= 120, y= 80, width= 8, height= 4
x= 120, y= 84, width= 8, height= 4
x= 120, y= 88, width= 8, height= 4
x= 120, y= 92, width= 8, height= 4
x= 64, y= 96, width= 16, height= 32
x= 80, y= 96, width= 8, height= 32
x= 88, y= 96, width= 8, height= 8
x= 88, y= 104, width= 8, height= 16
x= 88, y= 120, width= 8, height= 8
x= 96, y= 96, width= 8, height= 16
x= 104, y= 96, width= 4, height= 16
x= 108, y= 96, width= 8, height= 16
x= 116, y= 96, width= 4, height= 16
x= 120, y= 96, width= 8, height= 4
x= 120, y= 100, width= 8, height= 8
x= 120, y= 108, width= 4, height= 4
x= 124, y= 108, width= 4, height= 4
x= 96, y= 112, width= 16, height= 8
x= 96, y= 120, width= 16, height= 8
x= 112, y= 112, width= 16, height= 16
